Subject lang in English	Subject lang in subject lang	Description lang	Subject lang in description lang
friulian 	furlan	swedish	friuliska 
friulian 	furlan	icelandic	fríúlska 
friulian 	furlan	estonian	friuuli 
friulian 	furlan	telugu	ఫ్రియులియన్ 
friulian 	furlan	turkish	friulian 
friulian 	furlan	marathi	फ्रियुलियान 
friulian 	furlan	oriya	ଫ୍ରିୟୁଲୀୟାନ୍ 
friulian 	furlan	slovenian	furlanščina 
friulian 	furlan	gujarati	ફ્રિયુલિયાન 
friulian 	furlan	norwegian bokmål	friuliansk 
friulian 	furlan	hindi	फ्रीयुलीयान 
friulian 	furlan	dutch	friulisch 
friulian 	furlan	korean	프리우리안어 
friulian 	furlan	ukrainian	фріульська 
friulian 	furlan	russian	фриульский 
friulian 	furlan	danish	friulian 
friulian 	furlan	bulgarian	фриулиански 
friulian 	furlan	azeri	friul dili 
friulian 	furlan	hungarian	friuli 
friulian 	furlan	macedonian	фрулијански 
friulian 	furlan	lithuanian	frulan 
friulian 	furlan	french	frioulan 
friulian 	furlan	catalan	friülà 
friulian 	furlan	bengali	ফ্রিউলিয়ান 
friulian 	furlan	low german	friuulsch 
friulian 	furlan	maltese	frijuljan 
friulian 	furlan	thai	ฟรูลี 
friulian 	furlan	italian	friulano 
friulian 	furlan	tamil	ஃப்ரியூலியன் 
friulian 	furlan	finnish	friuli 
friulian 	furlan	indonesian	friuli 
friulian 	furlan	romansh	friulan 
friulian 	furlan	greek	φριούλιαν 
friulian 	furlan	latvian	friūlu 
friulian 	furlan	english	friulian 
friulian 	furlan	malayalam	ഫ്രിയുലിയാന്‍ 
friulian 	furlan	serbian	фриулијски 
friulian 	furlan	croatian	friulski 
friulian 	furlan	portuguese	friulano 
friulian 	furlan	chinese	弗留利文 
friulian 	furlan	german	friulisch 
friulian 	furlan	norwegian nynorsk	friuliansk 
friulian 	furlan	japanese	フリウリ語 
friulian 	furlan	kannada	ಫ್ರಿಯುಲಿಯನ್ 
friulian 	furlan	czech	furlandština 
friulian 	furlan	persian	فریولیایی 
friulian 	furlan	slovak	friulčina 
friulian 	furlan	friulian	furlan 
friulian 	furlan	spanish	friulano 
friulian 	furlan	polish	friulijski 
friulian 	furlan	arabic	الفريلايان 
friulian 	furlan	swiss german	friulisch 
vai 	vai	swedish	vaj 
vai 	vai	icelandic	vaí 
vai 	vai	estonian	vai 
vai 	vai	telugu	వాయి 
vai 	vai	turkish	vai 
vai 	vai	marathi	वाई 
vai 	vai	oriya	ଭାଇ 
vai 	vai	slovenian	vajščina 
vai 	vai	gujarati	વાઇ 
vai 	vai	norwegian bokmål	vai 
vai 	vai	hindi	वाई 
vai 	vai	dutch	vai 
vai 	vai	korean	바이어 
vai 	vai	ukrainian	ваї 
vai 	vai	russian	ваи 
vai 	vai	danish	vaj 
vai 	vai	bulgarian	ваи 
vai 	vai	azeri	vay dili 
vai 	vai	hungarian	vai 
vai 	vai	macedonian	ваи 
vai 	vai	lithuanian	vai 
vai 	vai	french	vaï 
vai 	vai	catalan	vai 
vai 	vai	bengali	ভাই 
vai 	vai	low german	vai 
vai 	vai	maltese	vai 
vai 	vai	thai	ไว 
vai 	vai	italian	vai 
vai 	vai	tamil	வை 
vai 	vai	finnish	vai 
vai 	vai	indonesian	vai 
vai 	vai	romansh	vai 
vai 	vai	greek	βάι 
vai 	vai	latvian	vaju 
vai 	vai	english	vai 
vai 	vai	malayalam	വൈ 
vai 	vai	serbian	вaи 
vai 	vai	croatian	vai 
vai 	vai	portuguese	vai 
vai 	vai	chinese	瓦伊文 
vai 	vai	german	vai 
vai 	vai	norwegian nynorsk	vai 
vai 	vai	japanese	ヴァイ語 
vai 	vai	kannada	ವಾಯಿ 
vai 	vai	czech	vai 
vai 	vai	persian	ویایی 
vai 	vai	spanish	vai 
vai 	vai	polish	wai 
vai 	vai	arabic	الفاي 
vai 	vai	swiss german	vai-schpraach 
norwegian nynorsk 	nynorsk	estonian	norra nynorsk 
norwegian nynorsk 	nynorsk	telugu	నార్విజియాన్ న్యోర్స్క్ 
norwegian nynorsk 	nynorsk	bulgarian	съвременен норвежки 
norwegian nynorsk 	nynorsk	azeri	norveç ninorsk dili 
norwegian nynorsk 	nynorsk	french	néo-norvégien 
norwegian nynorsk 	nynorsk	bengali	নরওয়েজীয়ান নিনর্স্ক 
norwegian nynorsk 	nynorsk	tamil	நார்வேஜியன் நியூநார்ஸ்க் 
norwegian nynorsk 	nynorsk	filipino	norwegian nynorsk 
norwegian nynorsk 	nynorsk	pushto	ناروېئي (نائنورسک) 
norwegian nynorsk 	nynorsk	albanian	norvegjisht (nynorsk) 
norwegian nynorsk 	nynorsk	serbian	норвешки њорск 
norwegian nynorsk 	nynorsk	malayalam	നോര്‍വീജിയന്‍ നൈനോര്‍ക്സ് 
norwegian nynorsk 	nynorsk	italian	norvegese nynorsk 
norwegian nynorsk 	nynorsk	galician	noruegués nynorsk 
norwegian nynorsk 	nynorsk	czech	norština (nynorsk) 
norwegian nynorsk 	nynorsk	slovak	nórsky nynorsk 
norwegian nynorsk 	nynorsk	urdu	نورویجینی (نینورسک) 
norwegian nynorsk 	nynorsk	polish	norweski nynorsk 
norwegian nynorsk 	nynorsk	kirghiz	норвегияча 
norwegian nynorsk 	nynorsk	xhosa	isi-norwegia (nynorsk) 
norwegian nynorsk 	nynorsk	swedish	nynorska 
norwegian nynorsk 	nynorsk	marathi	नॉर्वेजियन न्योर्स्क 
norwegian nynorsk 	nynorsk	slovenian	novonorveščina 
norwegian nynorsk 	nynorsk	colognian	neu-norrweejesch 
norwegian nynorsk 	nynorsk	faroese	nýnorskt 
norwegian nynorsk 	nynorsk	danish	nynorsk 
norwegian nynorsk 	nynorsk	indonesian	norwegian nynorsk 
norwegian nynorsk 	nynorsk	zulu	isinowejiyani (nynorsk) 
norwegian nynorsk 	nynorsk	norwegian nynorsk	nynorsk 
norwegian nynorsk 	nynorsk	georgian	ნორვეგიული ნინორსკი 
